Número de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235230
Palabra: bcs Frec: 4 lnProb: -10.86
Palabra: beach Frec: 10 lnProb: -10.07
Palabra: beaches Frec: 5 lnProb: -10.68
Palabra: beacuse Frec: 3 lnProb: -11.08
Palabra: beans Frec: 28 lnProb: -9.1
Palabra: bear Frec: 7 lnProb: -10.39
Palabra: beast Frec: 3 lnProb: -11.08
Palabra: beat Frec: 28 lnProb: -9.1
Palabra: beaten Frec: 4 lnProb: -10.86
Palabra: beating Frec: 5 lnProb: -10.68
Palabra: beautiful Frec: 30 lnProb: -9.04
Palabra: beautifully Frec: 3 lnProb: -11.08
Palabra: beauty Frec: 32 lnProb: -8.97
Palabra: beautynews Frec: 3 lnProb: -11.08
Palabra: bed Frec: 8 lnProb: -10.27
Palabra: beds Frec: 11 lnProb: -9.99
Palabra: beef Frec: 24 lnProb: -9.25
Palabra: beer Frec: 41 lnProb: -8.73
Palabra: beers Frec: 5 lnProb: -10.68
Palabra: beg Frec: 6 lnProb: -10.53
Palabra: began Frec: 33 lnProb: -8.94
Palabra: begging Frec: 6 lnProb: -10.53
Palabra: begin Frec: 24 lnProb: -9.25
Palabra: beginning Frec: 33 lnProb: -8.94
Palabra: begins Frec: 6 lnProb: -10.53
Palabra: begun Frec: 12 lnProb: -9.91
Palabra: behalf Frec: 7 lnProb: -10.39
Palabra: behave Frec: 10 lnProb: -10.07
Palabra: behaved Frec: 4 lnProb: -10.86
Palabra: behaving Frec: 4 lnProb: -10.86
Palabra: behavior Frec: 165 lnProb: -7.36
Palabra: behavioral Frec: 3 lnProb: -11.08
Palabra: behaviors Frec: 57 lnProb: -8.41
Palabra: behaviour Frec: 75 lnProb: -8.14
Palabra: behavioural Frec: 3 lnProb: -11.08
