Número de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201117
Palabra: breathing Frec: 12 lnProb: -9.77
Palabra: brick Frec: 11 lnProb: -9.85
Palabra: briefing Frec: 11 lnProb: -9.85
Palabra: bring Frec: 68 lnProb: -8.1
Palabra: bringing Frec: 39 lnProb: -8.64
Palabra: brings Frec: 14 lnProb: -9.62
Palabra: broadband Frec: 6 lnProb: -10.39
Palabra: broke Frec: 29 lnProb: -8.93
Palabra: broken Frec: 24 lnProb: -9.11
Palabra: brother Frec: 23 lnProb: -9.15
Palabra: brought Frec: 32 lnProb: -8.83
Palabra: brown Frec: 7 lnProb: -10.25
Palabra: brutal Frec: 6 lnProb: -10.39
Palabra: btw Frec: 7 lnProb: -10.25
Palabra: bubble Frec: 9 lnProb: -10.03
Palabra: buck Frec: 9 lnProb: -10.03
Palabra: budget Frec: 29 lnProb: -8.93
Palabra: budgets Frec: 12 lnProb: -9.77
Palabra: build Frec: 19 lnProb: -9.34
Palabra: building Frec: 19 lnProb: -9.34
Palabra: built Frec: 10 lnProb: -9.93
Palabra: bulk Frec: 57 lnProb: -8.27
Palabra: bullshit Frec: 24 lnProb: -9.11
Palabra: bumping Frec: 6 lnProb: -10.39
Palabra: bunch Frec: 14 lnProb: -9.62
Palabra: burden Frec: 11 lnProb: -9.85
Palabra: bus Frec: 34 lnProb: -8.78
Palabra: buses Frec: 6 lnProb: -10.39
Palabra: bushcraft Frec: 10 lnProb: -9.93
Palabra: business Frec: 284 lnProb: -6.68
Palabra: businesses Frec: 196 lnProb: -7.05
Palabra: bust Frec: 7 lnProb: -10.25
Palabra: busy Frec: 38 lnProb: -8.67
Palabra: butchers Frec: 7 lnProb: -10.25
Palabra: butter Frec: 9 lnProb: -10.03
Palabra: buy Frec: 585 lnProb: -5.96
Palabra: buyer Frec: 12 lnProb: -9.77
Palabra: buyers Frec: 145 lnProb: -7.35
Palabra: buying Frec: 1161 lnProb: -5.27
Palabra: buys Frec: 24 lnProb: -9.11
Palabra: c Frec: 30 lnProb: -8.9
Palabra: cafes Frec: 8 lnProb: -10.13
Palabra: cake Frec: 9 lnProb: -10.03
Palabra: calculator Frec: 6 lnProb: -10.39
Palabra: called Frec: 72 lnProb: -8.04
Palabra: calling Frec: 59 lnProb: -8.24
Palabra: calls Frec: 61 lnProb: -8.2
Palabra: calm Frec: 44 lnProb: -8.52
Palabra: came Frec: 66 lnProb: -8.13
Palabra: campaign Frec: 7 lnProb: -10.25
Palabra: campaigns Frec: 8 lnProb: -10.13
Palabra: campus Frec: 10 lnProb: -9.93
Palabra: canada Frec: 6 lnProb: -10.39
Palabra: cancel Frec: 35 lnProb: -8.75
Palabra: canceled Frec: 9 lnProb: -10.03
Palabra: cancellation Frec: 9 lnProb: -10.03
Palabra: cancellations Frec: 8 lnProb: -10.13
Palabra: cancelled Frec: 68 lnProb: -8.1
Palabra: cancer Frec: 14 lnProb: -9.62
Palabra: cannabis Frec: 10 lnProb: -9.93
Palabra: canned Frec: 29 lnProb: -8.93
Palabra: cans Frec: 19 lnProb: -9.34
Palabra: cap Frec: 8 lnProb: -10.13
Palabra: capacity Frec: 43 lnProb: -8.55
Palabra: capital Frec: 30 lnProb: -8.9
Palabra: capitalism Frec: 22 lnProb: -9.2
Palabra: capitalist Frec: 8 lnProb: -10.13
Palabra: capitalize Frec: 7 lnProb: -10.25
Palabra: caps Frec: 6 lnProb: -10.39
Palabra: car Frec: 94 lnProb: -7.78
Palabra: carbon Frec: 12 lnProb: -9.77
Palabra: card Frec: 37 lnProb: -8.69
Palabra: cards Frec: 12 lnProb: -9.77
Palabra: care Frec: 112 lnProb: -7.6
Palabra: careful Frec: 15 lnProb: -9.56
Palabra: carers Frec: 11 lnProb: -9.85
Palabra: caring Frec: 7 lnProb: -10.25
Palabra: carriers Frec: 12 lnProb: -9.77
Palabra: carry Frec: 27 lnProb: -9.0
Palabra: carrying Frec: 20 lnProb: -9.29
Palabra: cars Frec: 35 lnProb: -8.75
Palabra: cart Frec: 29 lnProb: -8.93
Palabra: cartel Frec: 6 lnProb: -10.39
Palabra: carts Frec: 25 lnProb: -9.07
Palabra: case Frec: 108 lnProb: -7.64
Palabra: cases Frec: 174 lnProb: -7.17
Palabra: cash Frec: 88 lnProb: -7.84
Palabra: cashier Frec: 49 lnProb: -8.42
Palabra: cashiers Frec: 28 lnProb: -8.96
Palabra: cashing Frec: 13 lnProb: -9.69
Palabra: cat Frec: 25 lnProb: -9.07
Palabra: catastrophe Frec: 6 lnProb: -10.39
Palabra: catastrophic Frec: 10 lnProb: -9.93
Palabra: catch Frec: 35 lnProb: -8.75
Palabra: catching Frec: 46 lnProb: -8.48
Palabra: categories Frec: 12 lnProb: -9.77
Palabra: category Frec: 7 lnProb: -10.25
Palabra: cats Frec: 12 lnProb: -9.77
Palabra: cattle Frec: 8 lnProb: -10.13
Palabra: caught Frec: 35 lnProb: -8.75
Palabra: cause Frec: 112 lnProb: -7.6
Palabra: caused Frec: 145 lnProb: -7.35
Palabra: causes Frec: 44 lnProb: -8.52
Palabra: causing Frec: 81 lnProb: -7.92
